"Character","Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID"
"Tyro","Zenith Transcendental Conversance","Judgment Grimoire+","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.20","Three single ranged hybrid attacks (1.10 or 3.60)","Y","Lowest HP% enemy","120","Support","断撃のグリモア改
","30161252"
"Tyro","Zenith Transcendental Conversance","Acicular Grimoire+","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.65","Five single ranged hybrid attacks (1.20/1.25 or 3.80/3.95) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Support","鋭鋒のグリモア改","30161322"
"Biggs","Zenith Brave Slash","Unshackled Power+","PHY","Single enemy","Physical","7.20","Earth, Holy, NE","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","オレ様流マッスル全開改","30211472"
"Biggs","Zenith Brave Slash","Boulder Blow+","PHY","Single enemy","Physical","7.50","Earth, Holy, NE","1.20","One single attack (7.50) capped at 99999","Y","Lowest HP% enemy","90","Knight","オレ様流・聖岩裂斬改","30211332"
"Wedge","Zenith Tornado Star","Trickster+","NAT","Single enemy","Hybrid","-","Wind","1.65","Six single ranged hybrid attacks (1.20/1.25 or 3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses, removes negative effects from all allies every four uses","N","Lowest HP% enemy","90","Black Magic","トリックスター改","30111572"
"Wedge","Zenith Tornado Star","Star Drive+","NAT","Single enemy","Hybrid","-","Wind","1.20","Seven single ranged hybrid attacks (1.10 or 3.60 each) capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","80","Thief","スタードライブ改","30201312"
"Dr. Mog","Zenith Archival Brilliance","Dr. Mog's Secret+","BLK","Single enemy","Magical","14.40","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.65","Four single attacks (3.60/3.75 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","Dr.モグの秘技改","30111502"
"Dr. Mog","Zenith Archival Brilliance","Dr. Mog's Trump Card+","SUM","Single enemy","Magical","26.80","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.20","One single attack (26.80) capped at 99999","Y","Lowest HP% enemy","90","Summoning","Dr.モグの切り札改","30131562"
"Warrior of Light","Zenith Bitter End","Crossover+","PHY","Single enemy","Physical","6.30","Holy","1.65","Six single attacks (1.05/1.10 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","クロスオーバー改","30211372"
"Warrior of Light","Zenith Bitter End","Radiant Sword+","PHY","Single enemy","Physical","4.40","Holy","1.65","Four single ranged attacks (1.10/1.15 each) after 0-2/3+ uses, grants [Buff Holy 10% (15s)] to all allies every second activation","Y","Lowest HP% enemy","90","Knight","レディアントソード改","30211212"
"Garland","Zenith Dark Rebirth","Chaos Bringer+","PHY","Single enemy","Physical","6.00","Dark","1.65","Five single attacks  (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses, grants [ATK +30%, DEF and RES -30% (8s)] to the user","Y","Lowest HP% enemy","90","Darkness","カオスブリンガー改","30271282"
"Wol","Zenith Canyon Break","Dancing Edge+","PHY","Single enemy","Physical","6.00","Earth, Holy","1.65","Five single attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Earth 10% (5s)] and [Imperil Holy 10% (5s)]","Y","Lowest HP% enemy","90","Knight","ダンシングエッジ改","30211402"
"Echo","Zenith Voice of Light","Echo's Prize+","NAT","All allies","","","","1.65","Restores 3000 HP to all allies","N","All allies","100","Dancer","エコーのご褒美改","30251162"
"Master","Zenith Fighting Frenzy","Fighting Frenzy+","PHY","Single enemy","Physical","6.25","Earth, Fire, Lightning","1.65","Five single attacks (1.25 each) capped at 9999/19999 after 0-2/3+ uses, causes [DEF, RES and MND -15% (8s)] to the user","Y","Lowest HP% enemy","90","Monk","闘魂乱舞改","30191382"
"Matoya","Zenith Crystal Power","Inner Eye+","BLK","Single enemy","Magical","18.60","Fire, Ice, Lightning","1.65","Six single attacks (3.10 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Witch","真眼の魔女改","30301142"
"Meia","Zenith Surging Wave","Pallida Mors+","BLK","Single enemy","Magical","22.80","Water","1.65","Six single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","パッリダ・モルス改","30111462"
"Thief (I)","Zenith Invisibreak","Invisibreak+","PHY","Single enemy","","","Wind, Poison","1.20","Six single attacks (? each) capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","90","Thief","","30201242"
"Firion","Zenith Wild Rose Vow","Lord of Arms+","PHY","Single enemy","Physical","6.00","Holy, Ice, Fire","1.65","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Samurai","ロードオブアームズ改","30221272"
"Firion","Zenith Wild Rose Vow","Wild Rose+","PHY","Single enemy","Physical","4.40","Holy, Ice, Fire","1.20","Four single attacks (1.10 each), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","90","Samurai","のばら改","30221212"
"Maria","Zenith Comet Arrow CXXVIII","Kerplode VIII+","BLK","Single enemy","Magical","22.80","Earth","1.80","Six single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","ばくは8改","30111382"
"Guy","Zenith Superhuman Strength","Gigantbreak+","PHY","Single enemy","Physical","6.00","Earth","1.65","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Earth 10% (5s)]","Y","Lowest HP% enemy","90","Monk","ギガントブレイク改","30191402"
"Leon","Zenith Weapon of Darkness","Darkness Breaker+","PHY","Single enemy","Physical","7.20","Dark","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Darkness","ダークネスブレイカー改","30271362"
"Minwu","Zenith Bright Sigil","Holy VIII+","WHT","Single enemy","Magical","23.22","Holy","1.65","Six single attacks (3.87/4.02 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","White Magic","ホーリー8改","30121342"
"Minwu","Zenith Bright Sigil","Seal of Heaven+","WHT","Single enemy","Magical","11.01","Holy","1.20","Three single attacks (3.67), causes [Imperil Holy 10% (15s)] every second activation","Y","Lowest HP% enemy","90","White Magic","天命の解印改","30121582"
"Leila","Zenith Pirate's Heart","Pirate Anchor+","PHY","Single enemy","Physical","6.00","Water, Poison","1.20","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses, causes [ATK and MAG -50% (8s)] every second activation","Y","Lowest HP% enemy","80","Thief","パイレーツアンカー改","30201192"
"Leila","Zenith Pirate's Knives","Pirate Anchor+","PHY","Single enemy","Physical","6.00","Water, Poison","1.20","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses, causes [ATK and MAG -50% (8s)] every second activation","Y","Lowest HP% enemy","80","Thief","パイレーツアンカー改","30201192"
"Ricard","Zenith Dragoon Rising","Pride of Deist+","PHY","Single enemy","Physical","7.50","Wind, Lightning, Water, Dark","1.50","Six single ranged jump attacks (1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Dragoon","プライドオブディスト改","30181282"
"Ricard","Zenith Dragoon Rising","Will of the Dragoon+","PHY","Single enemy","Physical","4.40","Wind, Lightning, Water, Dark","1.20","Four single ranged jump attacks (1.10 each), grants [Jump Instant Cast] to the user","Y","Lowest HP% enemy","90","Dragoon","決死の竜撃改","30181382"
"Josef","Zenith Snows of Death","Heroic Barrage+","PHY","Single enemy","Physical","4.40","Ice","1.20","Four single attacks (1.10 each), grants [10% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","90","Monk","漢の乱打改","30191252"
"Josef","Zenith Snows of Death","Hero's Smash+","PHY","Single enemy","Physical","7.20","Ice","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","漢の拳骨改","30191372"
"Emperor","Zenith Dark Geyser","Starfall+","BLK","Single enemy","Magical","10.80","Dark, Earth, Wind","1.20","Three single attacks (3.60 each), causes [Imperil Dark 10% (5s)], [Imperil Earth 10% (5s)] and [Imperil Wind 10% (5s)]","Y","Lowest HP% enemy","90","Black Magic","いんせき改","30111532"
"Emperor","Zenith Dark Geyser","Repentance Thorns+","BLK","Single enemy","Magical","19.00","Dark, Earth, Wind","1.65","Five single attacks (3.80/3.95 each), capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","ペンテンスの棘改","30111722"
"Hilda","Zenith Road to Victory","Wild Rose Prayer+","NAT","All allies","","","","1.65","Restores 2500 HP, grants [10% Damage Reduction Barrier 1]","N","All allies","100","Bard","のばらの祈り改","30241142"
"Scott","Zenith Shimmering Sword","Ring of Love+","PHY","Single enemy","Physical","7.50","Fire","1.65","Six single attacks (1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","愛のリング改","30141372"
"Luneth","Zenith Blade Torrent","Jump (III)+","PHY","Single enemy","Physical","7.20","Wind","1.65","Six single ranged jump attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Dragoon","ジャンプ【III】改","30181242"
"Luneth","Zenith Blade Torrent","Heavenly Gust+","PHY","Single enemy","Physical","3.30","Wind","1.20","Three single ranged jump attacks (1.10 each), grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","Dragoon","天空の一閃改","30181352"
"Arc","Zenith Divine Wave","Auroral Leviath+","NAT","Single enemy","Hybrid","","Holy, Water","1.65","Five single hybrid attacks (3.87/4.02 or 5.25/5.40 each), minimum damage 2000 (SUM only), capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","White Magic","優心リバイア改","30121452"
"Arc","Zenith Divine Wave","Grace of Water+","SUM","Single enemy","Magical","21.00","Holy, Water","1.80","Four single attacks (5.25 each), minimum damage 2000, grants [Buff Holy 10% (15s)] and [Buff Water 10% (15s)] to all allies every third activation, capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","90","Summoning","グレイスオブウォータ改","30131572"
"Refia","Zenith Dance of Carnage","Blazing Fists+","PHY","Single enemy","Physical","7.20","Fire","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","烈火の鍛拳改","30191302"
"Ingus","Zenith Titan's Blade","Titan's Blade+","PHY","Single enemy","Physical","4.40","Earth","1.20","Four single attacks (1.10 each), grants [Buff Earth 10% (15s)] to all allies every third activation","Y","Lowest HP% enemy","90","Knight","ティターンブレード改","30211242"
"Ingus","Zenith Titan's Blade","Oathsworn Espada+","PHY","Single enemy","Physical","6.90","Earth","1.65","Six single attacks (1.15/1.20/1.25 each at 0/1000/4500 DEF, 1.20/1.25/1.30 each at 0/1000/4500 DEF) capped at 9999/19999 after 0-2/3+ uses  ","Y","Lowest HP% enemy","90","Knight","忠誠のエスパーダ改","30211422"
"Desch","Zenith Roar of Duty","Ancient Lightning+","BLK","Single enemy","Magical","22.80","Lightning","1.65","Six single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","太古の迅雷改","30111732"
"Desch","Zenith Roar of Duty","Bolt of the Ancients+","BLK","Single enemy","Magical","14.40","Lightning","1.20","Four single attacks (3.60 each), grants [Buff Lightning 10% (15s)] to all allies every second activation","Y","Lowest HP% enemy","90","Black Magic","古代の雷閃改","30111592"
"Onion Knight","Zenith Grandspell Water","Onion Wizardry+","BLK","Single enemy","Magical","19.00","Wind, Water, Fire, Earth","1.80","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","たまねぎ大魔法改","30111372"
"Onion Knight","Zenith Grandspell Fire","Onion Wizardry+","BLK","Single enemy","Magical","19.00","Wind, Water, Fire, Earth","1.80","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","たまねぎ大魔法改","30111372"
"Onion Knight","Zenith Onion Master","Multi-Hit+","PHY","Single enemy","Physical","6.00","Wind, Water, Fire, Earth","1.20","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","80","Celerity","連続ヒット改","30171302"
"Onion Knight","Zenith Grandspell Earth","Onion Wizardry+","BLK","Single enemy","Magical","19.00","Wind, Water, Fire, Earth","1.80","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","たまねぎ大魔法改","30111372"
"Onion Knight","Zenith Grandspell Wind","Onion Wizardry+","BLK","Single enemy","Magical","19.00","Wind, Water, Fire, Earth","1.80","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","たまねぎ大魔法改","30111372"
"Cloud of Darkness","Zenith Particle Beam","Insulating Appendages+","BLK","Single enemy","Magical","19.00","Dark, Lightning","1.65","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Darkness"," 隔たりの触手改","30271352"
"Cloud of Darkness","Zenith Insulating Appendages","Insulating Appendages+","BLK","Single enemy","Magical","19.00","Dark, Lightning","1.65","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Darkness"," 隔たりの触手改","30271352"
"Cloud of Darkness","Zenith Insulating Appendages","Wave Cannon+","BLK","Single enemy","Magical","23.65","Dark","1.20","One single attack (23.65) capped at 99999","Y","Lowest HP% enemy","90","Darkness","はどうほう改","30271272"
"Aria","Zenith Prismatic Light","Maiden of Water+","WHT","All allies","","","","1.20","Restores HP (25), grants [HP Stock (1000)]","N","All allies","90","White Magic","水の巫女改","30121542"
"Aria","Zenith Prismatic Light","Prismatic Light+","NAT","All allies","","","","1.65","Grants [HP Stock (1500)], grants [High Quick Cast 1] every second activation","N","All allies","100","Bard","虹の光改","30241162"
"Cecil (Dark Knight)","Zenith Guilty Blade","Darkness+","PHY","Single enemy","Physical","7.80","Dark","1.65","Six single attacks (1.30 each) capped at 9999/19999 after 0-2/3+ uses and damages the user for 10% max HP","Y","Lowest HP% enemy","90","Darkness","あんこく改","30271182"
"Cecil (Paladin)","Zenith Radiant Wings","Paladin Force+","NAT","Single enemy","Hybrid","-","Holy","1.65","Six single attacks (1.20/1.25 or 3.87/4.02 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","パラディンフォース改","30211182"
"Kain","Zenith Luminous Dragon","Dragoon's Pride+","PHY","Single enemy","Physical","7.20","Lightning, Dark","1.65","Six single ranged jump attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Dragoon","プライドオブドラグーン改","30181202"
"Kain","Zenith Luminous Dragon","Gungnir+","PHY","Single enemy","Physical","4.40","Lightning, Dark","0.01","Four single ranged attacks (1.10 each), grants [100% Critical 1] to the user","Y","Lowest HP% enemy","90","Dragoon","グングニル改","30181322"
"Rydia","Zenith Fated Encounter","Summoner's Band+","SUM","All enemies","Magical","21.00","Water, Earth, Holy","1.80","Four single attacks (5.25/5.40 each) capped at 9999/19999 after 0-2/3+ uses","N","All enemies","90","Summoning","サモナーズバンド改","30131442"
"Rydia","Zenith Holy Mist","Summoner's Band+","SUM","All enemies","Magical","21.00","Water, Earth, Holy","1.80","Four single attacks (5.25/5.40 each) capped at 9999/19999 after 0-2/3+ uses","N","All enemies","90","Summoning","サモナーズバンド改","30131442"
"Rydia","Zenith Holy Mist","Law of the Eidolons+","SUM","All enemies","Magical","21.00","Water, Earth, Holy","1.80","Five single attacks (5.25 each) capped at 9999/19999 after 0-2/3+ uses","N","All enemies","90","Summoning","幻獣界の掟改","30131622"
"Rydia","Zenith Raging Giant","Summoner's Band+","SUM","All enemies","Magical","21.00","Water, Earth, Holy","1.80","Four single attacks (5.25/5.40 each) capped at 9999/19999 after 0-2/3+ uses","N","All enemies","90","Summoning","サモナーズバンド改","30131442"
"Rydia","Zenith Raging Giant","Law of the Eidolons+","SUM","All enemies","Magical","21.00","Water, Earth, Holy","1.80","Five single attacks (5.25 each) capped at 9999/19999 after 0-2/3+ uses","N","All enemies","90","Summoning","幻獣界の掟改","30131622"
"Rosa","Zenith Benediction","Pray+","WHT","All allies","","","","1.20","Restores HP (20), restores 1 consumed ability use every fourth activation","N","All allies","100","White Magic","いのり改","30121382"
"Yang","Zenith Seven-Star Earth Palm","Fist Dance+","PHY","Single enemy","Physical","7.50","Earth","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","拳の舞改","30191342"
"Palom","Zenith Twincast","Magic Barrage+","BLK","Single enemy","Magical","19.00","Lightning, Fire, Ice","1.65","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","魔法乱れ撃ち改","30111682"
"Porom","Zenith Coordinated Renew","Healing Tears+","WHT","All allies","","","","1.65","Restores HP (20), grants [HP Stock (1000)]","N","All allies","100","White Magic","ティアーズヒール改","30121482"
"Porom","Zenith Coordinated Renew","Healing Wind+","WHT","All allies","","","","1.20","Restores HP (20), grants [Magical Quick Cast 1] every second cast","N","All allies","100","White Magic","癒しの風【IV】改","30121552"
"Tellah","Zenith Vortex","Dire Meteor+","BLK","Single enemy","Magical","35.20","Earth","1.65","Four single attacks (3.80/3.95 each) followed by one single attack (20.00/20.75) that ignores RES capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","90","Black Magic","決死のメテオ改","30111602"
"Edge","Zenith Triune","Ninjitsu+","NAT","Single enemy","Hybrid","","Water, Fire, Lightning","0.83","4/5/6 single hybrid attacks (1.20/1.25 or 570/592.5 each) if the user has Physical Blink 0/1/2, grants [Physical Blink 1] and [Physical Blink Stacking 2] to the user, capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","80","Ninja","にんじゅつ改","30231222"
"Edge","Zenith Snake Within","Bio Ninjitsu+","NAT","Single enemy","Hybrid","","Poison","0.82","4 single-target Bio hybrid attacks (1.10/1.15 or 540/562.5 each) & single-target Bio piercing hybrid attack (6.15/6.35 or 20/20.75) capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","80","Ninja","にんじゅつ・毒改","30231312"
"Fusoya","Zenith Lunar Auspice","Bless+","WHT","Single enemy","Magical","6.00","Holy","1.20","Five single attacks (3.87/4.02 each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Holy 10% (5s)]","Y","Lowest HP% enemy","90","White Magic","せいしんは改","30121512"
"Golbez","Zenith Dark Meteor","Shadow Drake+","BLK","Single enemy","Magical","22.80","Dark","1.65","Six single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Darkness","こくりゅう改","30271172"
"Cid (IV)","Zenith Engineer's Trial","Monkey Wrench+","PHY","Single enemy","Physical","","Lightning","0.01","Five single ranged attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","70","Machinist","改造改","30261302"
"Cid (IV)","Zenith Engineer's Trial","Thor's Mighty Hammer+","PHY","Single enemy","Physical","","Lightning","1.20","One single ranged attack (7.10) capped at 99999","Y","Lowest HP% enemy","90","Machinist","ビッグトールハンマー改","30261322"
"Ceodore","Zenith Gleam Thruster","Vibra Slash+","PHY","Single enemy","Physical","7.20","Holy","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","バイブレイ・スラッシュ改","30211292"
"Rubicante","Zenith Wild Inferno","Inferno+","BLK","Single enemy","Magical","19.75","Fire","1.65","Five single attacks (3.8/3.95 each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Fire 10% (5s)]","Y","Lowest HP% enemy","90","Black Magic","かえんりゅう改","30111692"
"Ursula","Zenith Crushing Fist","Five Star Crimson Palm+","PHY","Single enemy","Physical","7.20","Earth","0.82","Six single attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","五星紅天掌改","30191352"
"Barbariccia","Zenith Gale Warning","Whirlwind+","BLK","Single enemy","Magical","19.00","Wind","0.01","Five single attacks (3.80/3.95) each capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","70","Black Magic","たつまき改","30111452"
"Lenna","Zenith Princesses' Prayer","Tycoon Cure+","WHT","All allies","","","","1.65","Restores HP (17.5) to all allies and grants [Quick Cast 1] to all allies after every second activation","N","All allies","90","White Magic","タイクーン・ケアル改","30121362"
"Galuf","Zenith Single-Mindedness","Fist of the Dawn+","PHY","Single enemy","Physical","6.00","Earth","1.65","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses, grants [40% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","90","Monk","暁の一撃改","30191262"
"Gogo (V)","Zenith Waterja Punishment","Total Mastery+","BLK","Single enemy","Magical","19.00","Water","1.65","Five single attacks (3.80/3.95) each capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Water 10% (5s)]","Y","Lowest HP% enemy","90","Black Magic","めんきょかいでん改","30111672"
"Gilgamesh","Zenith Excalibur?","Death Claw+","PHY","Single enemy","Physical","7.20","Fire","1.65","Six single attacks (1.20 each), 100% additional critical chance if user has [Retaliate] or [High Retaliate], capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Samurai","デスクロー改","30221242"
"Bartz","Zenith Ethereal Bond","Crystal Shimmer+","PHY","Single enemy","Physical","6.00","Fire, Water, Wind, Earth","1.65","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","四晶の輝き改","30141272"
"Bartz","Zenith Aqueous Bond","Crystal Shimmer+","PHY","Single enemy","Physical","6.00","Fire, Water, Wind, Earth","1.65","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","四晶の輝き改","30141272"
"Bartz","Zenith Flame Bond","Crystal Shimmer+","PHY","Single enemy","Physical","6.00","Fire, Water, Wind, Earth","1.65","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","四晶の輝き改","30141272"
"Dorgann","Zenith Blade Lore","Brotherhood of the Dawn+","PHY","Single enemy","","","Earth","1.65","Six single attacks (? each) capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","90","Knight","","30211382"
"Exdeath","Zenith Grand Cross","Double Hole+","NAT","Single enemy","Magical","19.35","Dark, Holy","1.65","Five single hybrid attacks (3.80/3.95 or 3.87/4.02 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Darkness","ダブルホール改","30271212"
"Krile","Zenith Meteoric Assault","Cleansing+","BLK","Single enemy","Magical","15.00","Fire, Earth","0.01","Four single attacks (3.75 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","70","Black Magic","心撃・クルル","30111412"
"Krile","Zenith Meteoric Assault","Kindred Flame+","SUM","Single enemy","Magical","26.25","Fire, Earth","1.65","Five single attacks (5.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Summoning","心撃・クルル","30131552"
"Xezat","Zenith Spellstrike Icecrusher","Spellsword Iceshock+","PHY","Single enemy","","","Earth, Ice, Lightning","1.65","Four single attacks (? each), followed by one single attack (?) with additonal 20% critical damage, capped 9999/19999 after 0-2/3+ uses ","N","Lowest HP% enemy","90","Spellblade","","30141392"
"Kelger","Zenith Lupine Force","Lupine Fang+","PHY","Single enemy","Physical","3.60","Earth","0.82","3/5/7 single attacks (1.20/1.25 each) if the user has Physical Blink 0/1/2, capped at 9999/19999 after 0-2/3+ uses, grants [Physical Blink 1] and [Physical Blink Stacking 2] to the user","Y","Lowest HP% enemy","80","Ninja","ルパインファング改","30231242"
"Terra","Zenith Scorching Flames","Riot Blade+","BLK","Single enemy","Magical","35.20","Fire, Wind","1.65","Four single attacks (3.80/3.95 each), followed by one single attack (20.00/20.75 each) that ignores RES, capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","ライオットソード改","30111432"
"Terra","Zenith Riot Blade","Riot Blade+","BLK","Single enemy","Magical","35.20","Fire, Wind","1.65","Four single attacks (3.80/3.95 each), followed by one single attack (20.00/20.75 each) that ignores RES, capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","ライオットソード改","30111432"
"Locke","Zenith Slash & Soar","Mirage Raid+","PHY","Single enemy","Physical","4.40","Fire","0.82","Four single attacks (1.10 each), causes [ATK and DEF -50% (8s)], gants [ATK and DEF +50% (8s)] to the user","Y","Lowest HP% enemy","80","Thief","ミラージュレイド改","30201152"
"Locke","Zenith Slash & Soar","Burning Spirit+","PHY","Single enemy","Physical","7.20","Fire","1.20","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","80","Thief","バーニンスピリット改","30201292"
"Celes","Zenith Divine Edge","Spinning Edge+","PHY","All enemies","Physical","6.00","Ice, Holy","1.65","Five group attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","スピニングエッジ改","30141262"
"Celes","Zenith Shimmering Icerain","Spinning Edge+","PHY","All enemies","Physical","6.00","Ice, Holy","1.65","Five group attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","スピニングエッジ改","30141262"
