"Character","Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID"
"Edgar","Zenith Chainsaw","Withering Shot+","PHY","Single enemy","Physical","3.30","Poison, Fire, Lightning","1.20","Three single attacks (1.10 each) causes [Imperil Poison 10% (5s)], [Imperil Fire 10% (5s)] and [Imperil Lightning 10% (5s)]","Y","Lowest HP% enemy","90","Machinist","ウィークメーカー改","30261242"
"Edgar","Zenith Chainsaw","Chainsaw+","PHY","Single enemy","Physical","6.00","Poison, Fire, Lightning","1.65","Five single ranged attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Machinist","回転のこぎり改","30261312"
"Sabin","Zenith Soaring Phoenix","Raging Fist (VI)+","PHY","Single enemy","Physical","7.20","Fire","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","爆裂拳【VI】改","30191292"
"Shadow","Zenith Dark Evade","Shadow Fang+","PHY","Single enemy","Physical","10.95","Dark","0.82","Four single ranged attacks (1.20/1.25 each), followed by one single ranged attack (6.15/6.35 each) that ignores DEF, damage capped at 9999/19999 after 0-2/3+ uses, 100% hit rate","Y","Lowest HP% enemy","80","Ninja","シャドウファング改","30231192"
"Cyan","Zenith Bushido: Echo","Bushido Tempest+","PHY","Single enemy","Physical","7.70","Fire","3.30","Seven single attacks (1.10/1.15 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Samurai","必殺剣・烈改","30221292"
"Cyan","Zenith Bushido: Echo","Bushido Wildfire+","PHY","Single enemy","Physical","4.40","Fire","1.20","Four single attacks (1.10 each), grants [Samurai Quick Cast 2] to the user","Y","Lowest HP% enemy","90","Samurai","必殺剣・灼改","30221332"
"Gau","Zenith Savory Treat","Rage+","PHY","Single enemy","Physical","7.20","Wind, Lightning","1.20","Six single attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses (no recoil damage)","Y","Lowest HP% enemy","80","Celerity","あばれる改","30171292"
"Setzer","Zenith Spare Darts","Red Card+","PHY","Single enemy","Physical","4.40","Dark","1.20","Four single ranged attacks (1.10/1.15 each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Dark 10% (5s)], randomly grants either [Sharpshooter Quick Cast 2] to the user, or restores 1000 HP to the lowest health ally and removes Poison, Blind, and Sleep","Y","Lowest HP% enemy","90","Shooter","ブラッディカード改","30281232"
"Umaro","Zenith Yellow Cherry","Icestorm+","PHY","Single enemy","Physical","7.50","Ice","1.20","One single attack (7.50) capped at 99999","Y","Lowest HP% enemy","90","Monk","ふぶき改","30191362"
"Umaro","Zenith Yellow Cherry","Furious Tackle+","PHY","Single enemy","Physical","7.20","Ice","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","げきどのたいあたり改","30191452"
"Kefka","Zenith Forsaken Null","Havoc Wing+","BLK","Single enemy","Magical","22.80","Dark, Poison","1.65","Six single attacks (3.80/3.95 each) capped at 19999 after 0-2/3+ uses, grants [MND -30% (8s)] to the user","Y","Lowest HP% enemy","90","Darkness","はかいのつばさ改","30271262"
"Kefka","Zenith Catastrophe Null","Havoc Wing+","BLK","Single enemy","Magical","22.80","Dark, Poison","1.65","Six single attacks (3.80/3.95 each) capped at 19999 after 0-2/3+ uses, grants [MND -30% (8s)] to the user","Y","Lowest HP% enemy","90","Darkness","はかいのつばさ改","30271262"
"Leo","Zenith Shattering Highblade","Shock+","PHY","Single enemy","Physical","7.50","Earth, Holy","1.20","One single attack (7.50) capped at 99999","Y","Lowest HP% enemy","90","Knight","ショック改","30211312"
"Leo","Zenith Shattering Highblade","Fallen Warrior's Blade+","PHY","Single enemy","Physical","7.20","Earth, Holy","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","士魂込めし剣改","30211442"
"Ultros","Zenith Fiend of the Lethe River...?! ","Totally Ink+","NAT","Single enemy","Hybrid","","Poison","1.65","Six single attacks (1.20/1.25 or 3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","おもいっきりすみ改","30111782"
"Cloud","Zenith Cross Slash","Braver+","PHY","Single enemy","Physical","6.00","Wind, Dark","1.65","Five single attacks (1.20/1.25 each), capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","ブレイバー改","30141292"
"Barret","Zenith Catastrophe","Soul of AVALANCHE+","NAT","Single ally","","","","0.01","Transfers the user's Soul Break points to the target (maximum of 500 Soul Break points), grants [Quick Cast 2] to the user","N","Single ally","100","Support","","30161312"
"Barret","Zenith Catastrophe","Ungarmax+","PHY","Single enemy","","","Fire","1.65","Seven single attacks (? each) capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","90","Machinist","","30261282"
"Tifa","Zenith Beat Rush","Somersault+","PHY","Single enemy","Physical","4.40","Earth","1.20","Four single attacks (1.10 each), grants [Monk Quick Cast 2] to the user","Y","Lowest HP% enemy","90","Monk","サマーソルト改","30191412"
"Tifa","Zenith Beat Rush","Beat Rush+","PHY","Single enemy","Physical","7.20","Earth","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","掌打ラッシュ改","30191242"
"Aerith","Zenith Prayer of Salvation","Healing Wind+","WHT","All allies","","","","1.65","Restores HP (25), grants [Quick Cast 1] every second activation","N","All allies","100","White Magic","","30121372"
"Aerith","Zenith Prayer of Salvation","Refreshing Breeze+","WHT","All allies","","","","?","Restores 2500 HP, grants [??? ATK +5%/10%/20%/30%], grants [??? 1/2/3/3] to the user if the user has ??? 0/1/2/3","N","All allies","?","White Magic","","30121592"
"Red XIII","Zenith Lunatic Ray","Earth Rave+","BLK","Single enemy","","","Earth","1.65","Five single attacks (? each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Earth 10% (5s)]","N","Lowest HP% enemy","90","Black Magic","","30111442"
"Yuffie","Zenith Doom of the Living","Gauntlet+","PHY","Single enemy","Physical","7.52","Water, Earth","1.65","Eight single ranged attacks (0.94 each)","N","Lowest HP% enemy","90","Ninja","","30231232"
"Yuffie","Zenith Doom of the Living","Clearest Tranquil+","PHY","Single enemy","Physical","4.80 - 7.50","Water, Earth","0.82","4/5/6 single ranged attacks (1.20/1.25 each) if the user has Physical Blink 0/1/2, capped at 9999/19999 after 0-2/3+ uses, grants [Physical Blink 1] and [Physical Blink Stacking 2] to the user","N","Lowest HP% enemy","80","Ninja","","30231282"
"Yuffie","Zenith Moonless Shower","Gauntlet+","PHY","Single enemy","Physical","7.52","Water, Earth","1.65","Eight single ranged attacks (0.94 each)","N","Lowest HP% enemy","90","Ninja","","30231232"
"Yuffie","Zenith Moonless Shower","Clearest Tranquil+","PHY","Single enemy","Physical","4.80 - 7.50","Water, Earth","0.82","4/5/6 single ranged attacks (1.20/1.25 each) if the user has Physical Blink 0/1/2, capped at 9999/19999 after 0-2/3+ uses, grants [Physical Blink 1] and [Physical Blink Stacking 2] to the user","N","Lowest HP% enemy","80","Ninja","","30231282"
"Vincent","Zenith Flame Penalty","Beast Flare+","NAT","Single enemy","Hybrid","-","Fire","1.65","Six single hybrid ranged attacks (1.20/1.25 or 3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","90","Machinist","ビーストフレア改","30261172"
"Zack","Zenith Rush Assault","Rush Assault+","PHY","Single enemy","Physical","7.20","Wind","1.20","Six single attacks (1.20 each), capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Celerity","ハードラッシュ改","30171272"
"Sephiroth","Zenith Heaven's Light","Heartless Angel+","PHY","Single enemy","Physical","","Dark","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses, 100% hit rate","Y","Lowest HP% enemy","90","Darkness","心無い天使改","30271232"
"Sephiroth","Zenith Flame of Nibelheim","Scintilla+","PHY","Single enemy","Physical","7.50","Dark","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Samurai","閃光改","30221282"
"Cid (VII)","Zenith D Boost","Boost Jump+","PHY","Single enemy","Physical","7.20","Wind","1.65","Six single ranged jump attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Dragoon","ブーストジャンプ改","30181302"
"Reno","Zenith Turk Special","Pyramid+","NAT","Single enemy","Hybrid","","Lightning, NE","1.65","Six ranged attacks (? or ? each) capped at 9999/19999 after 0-2/3+ uses, removes [Haste] every second activation","N","Lowest HP% enemy","90","Machinist","","30261212"
"Reno","Zenith Turk Special","Plasma Light+","PHY","Single enemy","Physical","","Lightning","1.20","Five ranged attacks (? each), causes [Imperil Lightning 10% (5s)]","N","Lowest HP% enemy","?","Machinist","","30261382"
"Angeal","Zenith SOLDIER's Peak","Wings of Pride+","PHY","Single enemy","Physical","3.30","Wind, Holy","1.20","3/5 single attacks (1.10 each) if the user hasn't/has any Damage Reduction Barrier, grants [40% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","90","Knight","傲慢なる翼改","30211282"
"Angeal","Zenith SOLDIER's Peak","Unleashed Wrath+","PHY","Single enemy","Physical","6.00","Wind, Holy","1.65","Four single attacks (1.20/1.25 each), followed by one single attack (1.20/1.25) with additional 20% critical damage, capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","憤怒の解放改","30211412"
"Rufus","Zenith Reign of Terror","Mako Barrage+","PHY","Single enemy","Physical","6.00","Dark","1.65","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Dark 10% (5s)]","Y","Lowest HP% enemy","90","Darkness","魔晄銃改","30271312"
"Shelke","Zenith Synaptic Net Dive","Synaptic Net Dive+","PHY","Single enemy","Physical","4.40","Lightning","0.82","Four single attacks (1.10/1.15 each), multiplier increases after 3 uses, grants [High Quick Cast 1]","Y","Lowest HP% enemy","90","Celerity","SND改","30171282"
"Shelke","Zenith Synaptic Net Dive","Transparent+","NAT","Single ally","","","","1.20","Transfers the user's Soul Break points to the target (maximum of 500 Soul Break points), grants [Instant Cast 1] to the target","N","Random ally prioritizing self last","100","Support","無式改","30161292"
"Rude","Zenith Thunderstone","Grand Spark+","NAT","Single enemy","Hybrid","6.00","Earth, Lightning","1.65","Five single ranged hybrid attacks (1.20/1.25 or 3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","地走り改","30191422"
"Rude","Zenith Thunderstone","Quake First+","NAT","Single enemy","Hybrid","4.40","Earth, Lightning","1.20","Four single ranged hybrid attacks (1.10 or 3.60 each), causes [Imperil Earth 10% (5s)] and [Imperil Lightning 10% (5s)] to the target","Y","Lowest HP% enemy","90","Monk","クエイクフィスト改","30191502"
"Elena","Zenith Rookie Rampage","Elite Resolve+","PHY","Single enemy","Physical","6.00","Fire, Lightning","1.65","Five single ranged attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Fire 10% (5s)] and [Imperil Lightning 10% (5s)] to the target","Y","Lowest HP% enemy","90","Sharpshooter","エリートの意地改","30281242"
"Genesis","Zenith Aldebaran","Genesis Slash+","PHY","Single enemy","Physical","7.20","Fire","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","創世の斬撃改","30141322"
"Squall","Zenith Renzokuken (Fire)","Renzokuken+","PHY","Single enemy","Physical","6.00","Fire, Ice","1.65","Five group attacks (1.20) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","連続剣改","30141252"
"Squall","Zenith Renzokuken (Ice)","Renzokuken+","PHY","Single enemy","Physical","6.00","Fire, Ice","1.65","Five group attacks (1.20) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","連続剣改","30141252"
"Rinoa","Zenith Angel Wing Quake","Angel Wing+","BLK","Single enemy","Magical","22.80","Ice, Earth","2.60","Six single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Witch","ヴァリー改","30301082"
"Rinoa","Zenith Angel Wing Comet","Angel Wing+II","BLK","Single enemy","Magical","22.80","Ice, Earth","1.65","Six single attacks (3.80 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Witch","ヴァリー改II","30301083"
"Quistis","Zenith Maser Eye","Hail to the Queen+","BLK","Single enemy","Magical","19.00","Water, Poison","0.01","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","70","Black Magic","コールミーキング改","30111662"
"Quistis","Zenith Maser Eye","Lesson Time+","SUM","Single enemy","Magical","21.00","Water, Poison","1.80","4 single attacks (5.25 each) capped at 9999/19999 after 0-2/3+ uses, Grants [MAG +30%, DEF and RES -15% (8s)] to the user","N","Lowest HP% enemy","90","Summoning","指導の時間改","30131612"
"Zell","Zenith Burning Duel","Meteor Barret+","PHY","Single enemy","Physical","7.20","Fire","1.65","Six single ranged attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","メテオバレット改","30191322"
"Zell","Zenith Burning Duel","Final Punch+","PHY","Single enemy","Physical","4.40","Fire","1.20","Four single attacks (1.10 each), grants [Monk Quick Cast 2] to the user","Y","Lowest HP% enemy","90","Monk","ファイナルパンチ改","30191472"
"Selphie","Zenith Dreamstage","Slots+","NAT","All enemies","","","","1.65","Causes [ATK and MAG -50% (8s)], restores 2500 HP to all allies","N","All enemies","100","Dancer","スロット改","30251122"
"Irvine","Zenith Heated Canister ","Canister Shot+","PHY","Single enemy","Physical","1.10","Fire","1.65","Five single ranged attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+, causes [Imperil Fire 10% (5s)]","N","Lowest HP% enemy","90","Machinist","キャニスターショット改","30281212"
"Laguna","Zenith Glacial High","Freezing Crush+","PHY","Single enemy","Physical","","Ice","?","Seven single ranged attacks (? each) capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","?","Machinist","","30261392"
"Laguna","Zenith Glacial High","Desperado+","PHY","All enemies","Physical","","Ice","1.65","Five ranged attacks (1.10 each), causes [Imperil Ice 10% (5s)]","N","Lowest HP% enemy","90","Machinist","","30261222"
"Edea","Zenith Heartless Soul","Ice Strike+","BLK","Single enemy","Magical","15.20","Dark, Ice","1.20","Four single attacks (3.80 each), grants [Quick Cast 1] to all allies","Y","Lowest HP% enemy","90","Witch","冷徹なる一撃改","30301122"
"Edea","Zenith Heartless Soul","Astral Realm+","BLK","Single enemy","Magical","19.00","Dark, Ice","1.65","Five single attacks (3.80/3.95 each), capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Witch","アストラル・ワールド改","30111742"
"Edea","Zenith Maelstrom","Ice Strike+","BLK","Single enemy","Magical","15.20","Dark, Ice","1.20","Four single attacks (3.80 each), grants [Quick Cast 1] to all allies","Y","Lowest HP% enemy","90","Witch","冷徹なる一撃改","30301122"
"Edea","Zenith Maelstrom","Astral Realm+","BLK","Single enemy","Magical","19.00","Dark, Ice","1.65","Five single attacks (3.80/3.95 each), capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Witch","アストラル・ワールド改","30111742"
"Seifer","Zenith Dragonking Cut","Bloodfest+","PHY","All enemies","Physical","6.00","Dark, Fire","1.65","Five single attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses","Y","All enemies","90","Darkness","血祭り改","30271252"
"Raijin","Zenith Raijin Special","Lightning Hammer Flurry+","PHY","Single enemy","Physical","7.20","Lightning","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","雷棍連撃改","30191492"
"Raijin","Zenith Raijin Special","Raijin Special+","PHY","Single enemy","Physical","7.50","Lightning","1.20","One single attack (7.50) capped at 99999","Y","Lowest HP% enemy","90","Monk","秘技「雷神飛竜昇」改","30191312"
"Fujin","Zenith Zan","Zan+","BLK","Single enemy","Magical","35.20","Wind","1.65","Four single attacks (3.80/3.95 each), followed by one single attack (20.00/20.75 each) that ignores RES, capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","斬改","30111552"
"Kiros","Zenith Extermination","Exsanguination+","PHY","Single enemy","Physical","","Dark, Ice","0.01","Five single attacks (1.10 each)","N","Lowest HP% enemy","80","Ninja","","30231262"
"Kiros","Zenith Extermination","Katar Dance+","PHY","Single enemy","Physical","","Dark, Ice","0.83","4/5/6 single attacks (? each) if the user has Physical Blink 0/1/2, capped at 9999/19999 after 0-2/3+ uses, grants [Physical Blink 1] and [Physical Blink Stacking 2] to the user ","N","Lowest HP% enemy","80","Ninja","","30231272"
"Ward","Zenith Tri-Anchor","Massive Anchor+","PHY","Single enemy","Physical","7.50","Water, Ice, Earth, NE","1.20","One single attack (7.50) capped at 99999","Y","Lowest HP% enemy","90","Dragoon","マッシヴアンカー改","30181252"
"Ward","Zenith Tri-Anchor","Anchor Rain+","PHY","Single enemy","Physical","6.00","Water, Ice, Earth, NE","1.65","Five single ranged attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Dragoon","アンカーレイン改","30181332"
"Ultimecia","Zenith Cycle of Steel","Final Sentence+","BLK","Single enemy","Magical","19.00","Wind, Dark","1.65","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","天罰の矢改","30111612"
"Zidane","Zenith Gale Impulse","Scoop Art+","PHY","Single enemy","Physical","7.20","Wind","1.20","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","80","Thief","スクープアウト改","30201182"
"Garnet","Zenith Maiden's Mettle","Divine Guardian+","SUM","Single enemy","Magical","26.25","Lightning, Holy","1.80","Five single attacks (5.25 each) capped at 9999/19999 after 0-2/3+ uses, minimum damage 2000, restores 1000 HP to all allies","N","Lowest HP% enemy","90","Summoning","聖なる守護神改","30131472"
"Garnet","Zenith O Holy Guardian","Divine Guardian+","SUM","Single enemy","Magical","26.25","Lightning, Holy","1.80","Five single attacks (5.25 each) capped at 9999/19999 after 0-2/3+ uses, minimum damage 2000, restores 1000 HP to all allies","N","Lowest HP% enemy","90","Summoning","聖なる守護神改","30131472"
"Vivi","Zenith Doublecast Meteorite","Double Black Magic Fira+","BLK","Single enemy","Magical","22.80","Fire","1.65","Six single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","W黒魔法・ファイラ改","30111482"
"Steiner","Zenith Double Climhazzard","Spellblade+","PHY","Single enemy","Physical","6.00","Fire, Ice, Lightning","1.65","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","魔法剣改","30141332"
"Freya","Zenith Cherry Blossom","Lancer (IX)+","PHY","Single enemy","Physical","5.50","Wind","1.20","Five single ranged jump attacks (1.10 each), restores 1000 HP to all allies","Y","Lowest HP% enemy","90","Dragoon","竜剣【IX】改","30181272"
"Freya","Zenith Cherry Blossom","Lunar Ray+","PHY","Single enemy","Physical","","Wind","?","Seven single jump attacks (? each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","?","Dragoon","ルナ・レイ改","30181392"
"Eiko","Zenith Healing Melody","Prayer of the Lost+","SUM","Single enemy","Magical","19.80","Holy, Wind","1.80","Four single attacks (4.95 each), minimum damage 2000, restores 2500 HP to all allies","N","Lowest HP% enemy","90","Summoning","マダイン・サリの祈り改","30131482"
"Eiko","Zenith Healing Melody","Emerald Light+","WHT","All allies","","","","1.20","Restores HP (20) to all allies,  grants smart ether 1 to all allies every fourth cast","N","All allies","100","White Magic","エメラルドの光改","30121612"
"Eiko","Zenith Homing Blast","Prayer of the Lost+ II","SUM","Single enemy","Magical","21.00","Wind, Holy","1.80","Four single attacks (5.25/5.40 each) capped at 9999/19999 after 0-2/3+ uses, minimum damage 2000, restores 1500 HP to all allies","N","Lowest HP% enemy","90","Summoning","マダイン・サリの祈り改II","30131483"
"Eiko","Zenith Homing Blast","Emerald Light+","WHT","All allies","","","","1.20","Restores HP (20) to all allies,  grants smart ether 1 to all allies every fourth cast","N","All allies","100","White Magic","エメラルドの光改","30121612"
"Amarant","Zenith Searing Special","Faithful Fist+","PHY","Single enemy","Physical","7.20","Fire","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","拳の確信改","30191442"
"Amarant","Zenith Searing Special","Countdown+","PHY","Single enemy","Physical","6.00","Fire","1.20","Five single attacks (1.20 each), restores 1500 HP to the lowest HP% ally","Y","Lowest HP% enemy","90","Monk","秘孔拳改","30191282"
"Beatrix","Zenith Sword of the Clear Mind","Seiken Shock+","PHY","Single enemy","Physical","7.50","Holy","1.20","One single ranged attack (7.50) capped at 99999 with 100% hit rate","Y","Lowest HP% enemy","90","Knight","聖剣技・ショック改","30211202"
"Beatrix","Zenith Sword of the Clear Mind","Seiken Climhazzard+","PHY","Single enemy","Physical","7.20","Holy","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","聖剣技Cハザード改","30211432"
"Kuja","Zenith Soul Symphony","Darkflare Star+","BLK","Single enemy","Magical","19.00","Dark","0.01","Five single attacks (3.80/3.95 each), capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","70","Darkness","ダークフレアスター改","30271302"
"Marcus","Zenith Phantom Hazard","Tantalus Break+","PHY","Single enemy","Physical","6.00","Wind, Poison","0.01","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","70","Thief","タンタラスブレイク改","30201222"
"Tidus","Zenith Slice & Dice","Jecht Shot+","PHY","Single enemy","Physical","7.20","Water","1.65","Five single ranged attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses, followed by one ranged attack (1.20/1.25) capped at 9999/19999 after 0-2/3+ uses with additional 20% critical damage","Y","Lowest HP% enemy","90","Shooter","ジェクトシュート改","30281162"
"Wakka","Zenith Aurochs Shot","Element Reels+","PHY","Single enemy","Physical","","Water","1.20","Four single ranged attacks (1.00 each), grants [Buff Water 10% (15s)] to all allies every second activation","N","Lowest HP% enemy","90","Sharpshooter","","30281192"
"Wakka","Zenith Aurochs Shot","Attack Reels+","PHY","Single enemy","Physical","","Water","1.65","Six single ranged attacks (? each) capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","90","Sharpshooter","","30281252"
"Kimahri","Zenith Dragonfang Current","Ronso Jump+","PHY","Single enemy","Physical","7.35","Water","1.65","Seven single ranged jump attacks (1.05/1.10 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Dragoon","ロンゾジャンプ改","30181232"
"Kimahri","Zenith Dragonfang Current","Azure Lance+","PHY","Single enemy","Physical","3.30","Water","1.20","Three single ranged jump attacks (1.10 each), grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","Dragoon","覚悟の青き槍改","30181312"
"Rikku","Zenith Dressphere: Thief","Tidal Wave+","PHY","Single enemy","Physical","6.65","Water","1.65","Seven single ranged attacks (0.95/1.00 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Machinist","タイダルウェーブ改","30261292"
"Rikku","Zenith Dressphere: Thief","Al Bhed Steal+","PHY","Single enemy","Physical","4.40","Water","0.82","Four single attacks (1.10 each), causes [ATK and DEF -50% (8s)], grants [ATK and DEF +50%] for 8 seconds to the user","Y","Lowest HP% enemy","80","Thief","アルベド・スティール改","30201162"
"Auron","Zenith Fiery Heart","Banishing Blade+","PHY","Single enemy","Physical","7.50","Fire","1.65","One single attack (7.50) capped at 99999, causes [ATK, DEF, MAG and RES -50% (15s)] to the target","Y","Lowest HP% enemy","90","Samurai","征伐改","30221232"
"Auron","Zenith Fiery Heart","Dragon Fang+","PHY","Single enemy","Physical","7.20","Fire","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Samurai","牙龍改","30221322"
"Braska","Zenith Summon Fire II","Wandering Flame+","SUM","Single enemy","Magical","","Fire","1.20","Four single attacks (? each), minimum damage 2000, grants [Buff Fire 10% (15s)] to all allies every second activation","N","Lowest HP% enemy","90","Summoning","","30131542"
"Braska","Zenith Summon Fire II","Crimson Prayer+","SUM","Single enemy","Magical","","Fire","1.65","Six single attacks (? each) capped at 9999/19999 after 0-2/3+ uses, minimum damage ?","N","Lowest HP% enemy","?","Summoning","","30131602"
"Seymour","Zenith Merciless Barrage","Anima's Pain+","SUM","All enemies","Magical","","Dark","1.80","Five group attacks (? each) capped at 9999/19999 after 0-2/3+ uses, minimum damage 2000","N","Lowest HP% enemy","90","Summoning","","30131522"
"Shantotto","Zenith Vidofnir","Play Rough+","BLK","Single enemy","Magical","21.70","Lightning","2.60","Seven single attacks (3.10/3.25), capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Witch","ブチ切れ改","30301112"
"Lion","Zenith Scatter Shot","Powder Keg+","PHY","Single enemy","Physical","6.25","Water","1.20","Five single attacks (1.25 each), causes [Imperil Water 10% (5s)]","N","Lowest HP% enemy","80","Thief","パウダーケッグ改","30201232"
"Zeid","Zenith Sickle Moon","Abyssal Strike+","PHY","Single enemy","Physical","7.20","Dark","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Darkness","アビッサルストライク改","30271332"
"Arciela","Zenith Sight Unseen","Harmonic Displacement+","BLK","Single enemy","Magical","19.00","Ice, Lightning, Water, Wind","1.65","Five single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","Hディスプレイスメント改","30111752"
